category,year,count
Bribery / Official Corruption,2000,26
Bribery / Official Corruption,2001,19
Bribery / Official Corruption,2002,13
Bribery / Official Corruption,2003,12
Bribery / Official Corruption,2004,6
Bribery / Official Corruption,2005,7
Bribery / Official Corruption,2006,15
Bribery / Official Corruption,2007,33
Bribery / Official Corruption,2008,32
Bribery / Official Corruption,2009,56
Bribery / Official Corruption,2010,19
Bribery / Official Corruption,2011,21
Bribery / Official Corruption,2012,18
Bribery / Official Corruption,2013,17
Bribery / Official Corruption,2014,24
Bribery / Official Corruption,2015,17
Bribery / Official Corruption,2016,2
Conduct Unbecoming (Off-Duty),2000,322
Conduct Unbecoming (Off-Duty),2001,187
Conduct Unbecoming (Off-Duty),2002,118
Conduct Unbecoming (Off-Duty),2003,114
Conduct Unbecoming (Off-Duty),2004,91
Conduct Unbecoming (Off-Duty),2005,66
Conduct Unbecoming (Off-Duty),2006,81
Conduct Unbecoming (Off-Duty),2007,82
Conduct Unbecoming (Off-Duty),2008,116
Conduct Unbecoming (Off-Duty),2009,58
Conduct Unbecoming (Off-Duty),2010,82
Conduct Unbecoming (Off-Duty),2011,66
Conduct Unbecoming (Off-Duty),2012,53
Conduct Unbecoming (Off-Duty),2013,54
Conduct Unbecoming (Off-Duty),2014,49
Conduct Unbecoming (Off-Duty),2015,58
Conduct Unbecoming (Off-Duty),2016,13
Conduct Unbecoming (Off-Duty),2017,1
Criminal Misconduct,2000,1097
Criminal Misconduct,2001,285
Criminal Misconduct,2002,44
Criminal Misconduct,2003,40
Criminal Misconduct,2004,56
Criminal Misconduct,2005,63
Criminal Misconduct,2006,43
Criminal Misconduct,2007,60
Criminal Misconduct,2008,183
Criminal Misconduct,2009,124
Criminal Misconduct,2010,97
Criminal Misconduct,2011,16
Criminal Misconduct,2012,9
Criminal Misconduct,2013,13
Criminal Misconduct,2014,16
Criminal Misconduct,2015,30
Criminal Misconduct,2016,57
Domestic,2000,1355
Domestic,2001,685
Domestic,2002,690
Domestic,2003,412
Domestic,2004,329
Domestic,2005,234
Domestic,2006,210
Domestic,2007,156
Domestic,2008,198
Domestic,2009,269
Domestic,2010,236
Domestic,2011,214
Domestic,2012,184
Domestic,2013,166
Domestic,2014,97
Domestic,2015,66
Domestic,2016,27
Domestic,2017,17
Domestic,2018,1
Drug / Alcohol Abuse,2000,41
Drug / Alcohol Abuse,2001,20
Drug / Alcohol Abuse,2002,11
Drug / Alcohol Abuse,2003,7
Drug / Alcohol Abuse,2004,14
Drug / Alcohol Abuse,2005,11
Drug / Alcohol Abuse,2006,6
Drug / Alcohol Abuse,2007,6
Drug / Alcohol Abuse,2008,17
Drug / Alcohol Abuse,2009,9
Drug / Alcohol Abuse,2010,3
Drug / Alcohol Abuse,2011,4
Drug / Alcohol Abuse,2012,8
Drug / Alcohol Abuse,2013,1
Drug / Alcohol Abuse,2014,7
Drug / Alcohol Abuse,2015,7
Drug / Alcohol Abuse,2016,3
Excessive Force,2011,1
Excessive Force,2013,3
Excessive Force,2014,3
Excessive Force,2015,4
Excessive Force,2016,5
Excessive Force,2017,2
False Arrest,2000,48
False Arrest,2001,233
False Arrest,2002,498
False Arrest,2003,470
False Arrest,2004,440
False Arrest,2005,454
False Arrest,2006,684
False Arrest,2007,786
False Arrest,2008,560
False Arrest,2009,626
False Arrest,2010,512
False Arrest,2011,452
False Arrest,2012,550
False Arrest,2013,612
False Arrest,2014,640
False Arrest,2015,317
False Arrest,2016,49
False Arrest,2017,56
False Arrest,2018,3
First Amendment,2000,3
First Amendment,2002,4
First Amendment,2004,2
First Amendment,2005,6
First Amendment,2006,6
First Amendment,2007,10
First Amendment,2009,2
First Amendment,2011,1
First Amendment,2012,3
First Amendment,2014,2
Illegal Search,2000,2563
Illegal Search,2001,1964
Illegal Search,2002,1902
Illegal Search,2003,1825
Illegal Search,2004,1960
Illegal Search,2005,1085
Illegal Search,2006,1479
Illegal Search,2007,2020
Illegal Search,2008,1590
Illegal Search,2009,1981
Illegal Search,2010,1479
Illegal Search,2011,1156
Illegal Search,2012,950
Illegal Search,2013,1025
Illegal Search,2014,1010
Illegal Search,2015,661
Illegal Search,2016,143
Illegal Search,2017,28
Lockup Procedures,2000,1181
Lockup Procedures,2001,691
Lockup Procedures,2002,403
Lockup Procedures,2003,265
Lockup Procedures,2004,346
Lockup Procedures,2005,227
Lockup Procedures,2006,361
Lockup Procedures,2007,392
Lockup Procedures,2008,407
Lockup Procedures,2009,361
Lockup Procedures,2010,382
Lockup Procedures,2011,270
Lockup Procedures,2012,271
Lockup Procedures,2013,400
Lockup Procedures,2014,323
Lockup Procedures,2015,221
Lockup Procedures,2016,89
Operation/Personnel Violations,2000,5369
Operation/Personnel Violations,2001,3081
Operation/Personnel Violations,2002,2970
Operation/Personnel Violations,2003,2783
Operation/Personnel Violations,2004,2240
Operation/Personnel Violations,2005,1359
Operation/Personnel Violations,2006,1696
Operation/Personnel Violations,2007,2444
Operation/Personnel Violations,2008,2674
Operation/Personnel Violations,2009,2059
Operation/Personnel Violations,2010,1860
Operation/Personnel Violations,2011,1619
Operation/Personnel Violations,2012,1567
Operation/Personnel Violations,2013,1185
Operation/Personnel Violations,2014,1202
Operation/Personnel Violations,2015,1183
Operation/Personnel Violations,2016,439
Operation/Personnel Violations,2017,10
Operation/Personnel Violations,2018,1
Racial Profiling,2003,2
Racial Profiling,2004,5
Racial Profiling,2005,7
Racial Profiling,2006,16
Racial Profiling,2007,8
Racial Profiling,2008,2
Racial Profiling,2016,2
Racial Profiling,2018,1
Supervisory Responsibilities,2000,286
Supervisory Responsibilities,2001,239
Supervisory Responsibilities,2002,168
Supervisory Responsibilities,2003,170
Supervisory Responsibilities,2004,193
Supervisory Responsibilities,2005,186
Supervisory Responsibilities,2006,103
Supervisory Responsibilities,2007,32
Supervisory Responsibilities,2008,39
Supervisory Responsibilities,2009,31
Supervisory Responsibilities,2010,50
Supervisory Responsibilities,2011,35
Supervisory Responsibilities,2012,32
Supervisory Responsibilities,2013,11
Supervisory Responsibilities,2014,28
Supervisory Responsibilities,2015,15
Supervisory Responsibilities,2016,7
Traffic,2000,890
Traffic,2001,628
Traffic,2002,404
Traffic,2003,208
Traffic,2004,78
Traffic,2005,45
Traffic,2006,170
Traffic,2007,185
Traffic,2008,171
Traffic,2009,117
Traffic,2010,85
Traffic,2011,108
Traffic,2012,95
Traffic,2013,77
Traffic,2014,106
Traffic,2015,148
Traffic,2016,37
Unknown,2016,1
Use Of Force,2000,3535
Use Of Force,2001,2165
Use Of Force,2002,2194
Use Of Force,2003,1703
Use Of Force,2004,1364
Use Of Force,2005,1524
Use Of Force,2006,1482
Use Of Force,2007,1882
Use Of Force,2008,1554
Use Of Force,2009,1694
Use Of Force,2010,1594
Use Of Force,2011,1398
Use Of Force,2012,1015
Use Of Force,2013,842
Use Of Force,2014,668
Use Of Force,2015,383
Use Of Force,2016,116
Use Of Force,2017,168
Use Of Force,2018,9
Verbal Abuse,2000,1601
Verbal Abuse,2001,879
Verbal Abuse,2002,863
Verbal Abuse,2003,789
Verbal Abuse,2004,327
Verbal Abuse,2005,50
Verbal Abuse,2006,85
Verbal Abuse,2007,205
Verbal Abuse,2008,170
Verbal Abuse,2009,145
Verbal Abuse,2010,172
Verbal Abuse,2011,154
Verbal Abuse,2012,130
Verbal Abuse,2013,123
Verbal Abuse,2014,73
Verbal Abuse,2015,61
Verbal Abuse,2016,27
Verbal Abuse,2017,11
