category,allegation_name,count
Bribery / Official Corruption,An Act To Circumvent Criminal Prosecution,25
Bribery / Official Corruption,"Bribe, Failure To Report",5
Bribery / Official Corruption,Extortion,25
Bribery / Official Corruption,False Testimony In Court,1
Bribery / Official Corruption,Gang Affiliation,219
Bribery / Official Corruption,Gratuity,10
Bribery / Official Corruption,Recommend Professional Service,30
Bribery / Official Corruption,Solicit / Accept Bribe (Non-Traffic),72
Bribery / Official Corruption,Solicit / Accept Bribe (Traffic),99
Bribery / Official Corruption,Use Of Official Position,72
Conduct Unbecoming (Off-Duty),Abuse Of Authority,157
Conduct Unbecoming (Off-Duty),Altercation / Disturbance - Neighbor,382
Conduct Unbecoming (Off-Duty),Altercation / Disturbance - Other,2299
Conduct Unbecoming (Off-Duty),Altercation / Disturbance - Traffic,454
Conduct Unbecoming (Off-Duty),Association With Felon,3307
Conduct Unbecoming (Off-Duty),Drivers License - Revoked / Suspended,20
Conduct Unbecoming (Off-Duty),Equipment Irregularity,1
Conduct Unbecoming (Off-Duty),Indebtedness To City,268
Conduct Unbecoming (Off-Duty),Judicial Process/Directive - Contempt,51
Conduct Unbecoming (Off-Duty),Miscellaneous,1
Conduct Unbecoming (Off-Duty),Misdemeanor Arrest,47
Conduct Unbecoming (Off-Duty),Sexual Misconduct,31
Conduct Unbecoming (Off-Duty),Traffic Violations (Other Than D.U.I.),109
Criminal Misconduct,Arson,11
Criminal Misconduct,"Assault / Battery, Etc.",95
Criminal Misconduct,Auto Theft,19
Criminal Misconduct,Burglary,17
Criminal Misconduct,Conspiracy To Commit A Crime,1193
Criminal Misconduct,Criminal Sexual Assault,231
Criminal Misconduct,Damage / Trespassing To Property,349
Criminal Misconduct,"Drugs / Controlled Substance, Possession Or Sale",381
Criminal Misconduct,"Murder / Manslaughter, Etc.",15
Criminal Misconduct,Other Felony,122
Criminal Misconduct,Police Impersonator (Advocate Section Use Only),7
Criminal Misconduct,Robbery,34
Criminal Misconduct,Shoplifting,8
Criminal Misconduct,Theft,715
