id,term1,term2,term3,term4,term5,term6,term7,term8,term9,term10
0,,,,,,,,,,
1,injure,member,support,disciplinary,sustain,professional,medical,property,injury,visible
2,weapon,member,discharge,battery,fire,incident,force,firearm,injury,first
3,detective,homicide,supplementary,attorney,murder,inspector,taxi,government,emma,strip
4,rule,decision,follow,hear,hearing,conduct,write,guilty,suspension,agreement
5,go,incident,leave,male,sustain,back,strike,take,face,door
6,rule,violation,involve,copa,accountability,write,work,would,give,find
7,sustain,member,disciplinary,support,warrant,employee,incident,command,witness,file
8,vehicle,stop,car,drive,take,driver,individual,arrest,involve,seat
9,incident,witness,employee,face,audio,victim,command,preliminary,weapon,sustain
10,beat,victim,title,recommend,concur_recommend,black,unknown,age,event,male
