category,years_on_force,number_since_same_type,number_since_total,number_same_type_after
Operation/Personnel Violations,0,0,0,0
Operation/Personnel Violations,0,0,0,0
Operation/Personnel Violations,0,0,0,0
Criminal Misconduct,0,0,2,0
Operation/Personnel Violations,0,0,0,0
Operation/Personnel Violations,0,0,0,0
Operation/Personnel Violations,0,0,2,1
Operation/Personnel Violations,0,0,0,0
Operation/Personnel Violations,0,0,0,0
Domestic,0,0,0,0
Operation/Personnel Violations,0,0,0,0
Use Of Force,0,0,0,2
Operation/Personnel Violations,0,0,4,3
Operation/Personnel Violations,0,0,0,1
Operation/Personnel Violations,0,0,0,2
Operation/Personnel Violations,0,0,0,0
Operation/Personnel Violations,0,0,0,0
Illegal Search,0,0,0,2
Verbal Abuse,0,0,0,0
Operation/Personnel Violations,0,0,4,0
Traffic,0,0,0,0
Operation/Personnel Violations,0,0,1,1
Operation/Personnel Violations,0,0,3,1
Traffic,0,0,0,0
Operation/Personnel Violations,0,0,2,0
Criminal Misconduct,0,0,2,0
Illegal Search,0,2,6,0
Operation/Personnel Violations,0,0,0,0
Operation/Personnel Violations,0,0,0,2
Operation/Personnel Violations,0,0,1,1
Criminal Misconduct,0,0,0,0
Verbal Abuse,0,0,2,1
Traffic,0,0,0,0
Operation/Personnel Violations,0,0,0,2
Operation/Personnel Violations,0,0,0,1
Lockup Procedures,0,0,0,6
Operation/Personnel Violations,1,0,1,0
Operation/Personnel Violations,0,0,0,0
Illegal Search,0,0,0,0
Operation/Personnel Violations,1,0,2,1
Operation/Personnel Violations,0,0,0,0
Lockup Procedures,0,0,0,0
Operation/Personnel Violations,0,0,0,1
Traffic,0,0,0,1
Illegal Search,1,0,2,0
Illegal Search,0,0,0,0
Operation/Personnel Violations,0,0,0,0
Operation/Personnel Violations,0,0,0,2
Illegal Search,0,0,0,0
Lockup Procedures,0,0,0,0
Operation/Personnel Violations,0,0,0,0
Domestic,0,0,0,0
Operation/Personnel Violations,0,0,2,0
Operation/Personnel Violations,0,0,0,0
Operation/Personnel Violations,0,0,0,0
Operation/Personnel Violations,0,0,0,1
Operation/Personnel Violations,0,0,0,2
Operation/Personnel Violations,0,0,0,2
Operation/Personnel Violations,0,1,1,1
Criminal Misconduct,0,0,0,0
Operation/Personnel Violations,0,0,0,2
Operation/Personnel Violations,0,0,0,2
Operation/Personnel Violations,0,0,1,1
Lockup Procedures,0,0,2,1
Operation/Personnel Violations,0,0,0,0
Lockup Procedures,0,0,0,0
Traffic,0,0,0,0
Operation/Personnel Violations,0,0,2,0
Operation/Personnel Violations,0,0,0,0
Traffic,0,0,2,0
Use Of Force,0,0,0,0
Operation/Personnel Violations,0,0,0,1
Operation/Personnel Violations,0,0,0,0
Use Of Force,0,0,0,0
Verbal Abuse,0,0,3,0
Operation/Personnel Violations,0,0,0,2
Lockup Procedures,0,1,1,0
Illegal Search,1,0,0,7
Operation/Personnel Violations,0,0,0,2
Operation/Personnel Violations,0,0,1,1
Operation/Personnel Violations,0,0,0,0
Domestic,0,0,2,0
Criminal Misconduct,0,0,3,0
Operation/Personnel Violations,0,0,0,2
Operation/Personnel Violations,0,0,0,1
Lockup Procedures,0,0,0,1
Use Of Force,1,0,0,0
Lockup Procedures,0,0,0,6
Operation/Personnel Violations,1,0,1,0
Operation/Personnel Violations,0,0,0,0
Operation/Personnel Violations,1,0,2,1
Operation/Personnel Violations,1,0,0,2
Supervisory Responsibilities,0,0,0,0
Use Of Force,1,0,2,1
Use Of Force,0,0,0,0
Operation/Personnel Violations,1,0,2,1
Verbal Abuse,0,0,0,1
Domestic,1,0,1,0
Illegal Search,0,0,0,1
Operation/Personnel Violations,0,0,0,1
Traffic,0,2,2,0
Traffic,0,0,0,1
Lockup Procedures,1,0,5,0
Illegal Search,1,0,2,0
Use Of Force,1,0,1,1
Illegal Search,0,0,0,0
Use Of Force,0,0,0,0
Domestic,0,0,1,0
Illegal Search,1,0,0,0
Illegal Search,0,0,0,0
Illegal Search,1,0,0,0
Operation/Personnel Violations,1,0,2,0
Domestic,0,0,0,0
Operation/Personnel Violations,0,0,0,1
Verbal Abuse,1,0,0,1
Operation/Personnel Violations,1,0,2,0
Operation/Personnel Violations,0,0,0,1
Verbal Abuse,1,0,2,0
Conduct Unbecoming (Off-Duty),0,0,0,0
Operation/Personnel Violations,0,0,0,4
Operation/Personnel Violations,1,0,1,1
Operation/Personnel Violations,0,0,0,0
Operation/Personnel Violations,0,0,0,0
Domestic,0,0,0,0
Use Of Force,0,0,0,0
Traffic,0,0,3,0
Domestic,0,1,3,3
Use Of Force,1,0,2,0
Domestic,0,0,0,0
Traffic,0,0,0,0
Operation/Personnel Violations,0,0,0,0
Operation/Personnel Violations,0,0,0,0
Verbal Abuse,1,0,0,0
Operation/Personnel Violations,0,0,0,0
Operation/Personnel Violations,1,0,0,0
Use Of Force,1,0,1,0
Use Of Force,0,0,2,1
Use Of Force,0,0,0,4
Operation/Personnel Violations,0,0,0,0
Verbal Abuse,0,0,0,0
Operation/Personnel Violations,0,0,0,0
Operation/Personnel Violations,0,0,0,1
Verbal Abuse,0,0,1,0
Verbal Abuse,1,0,0,0
Verbal Abuse,1,0,0,0
Verbal Abuse,0,0,0,0
Verbal Abuse,1,0,2,0
Operation/Personnel Violations,0,0,0,0
Operation/Personnel Violations,1,0,0,1
Operation/Personnel Violations,1,0,0,0
Illegal Search,1,0,4,0
Verbal Abuse,0,0,4,0
Operation/Personnel Violations,0,0,0,0
Criminal Misconduct,0,0,0,0
Operation/Personnel Violations,1,0,0,0
Operation/Personnel Violations,1,0,1,0
Operation/Personnel Violations,1,0,1,1
Operation/Personnel Violations,1,0,4,0
Lockup Procedures,1,0,4,0
Operation/Personnel Violations,0,0,0,1
Operation/Personnel Violations,0,0,0,1
Lockup Procedures,0,0,0,0
Domestic,1,0,0,0
Illegal Search,1,0,0,4
Illegal Search,1,0,1,0
Verbal Abuse,1,0,3,0
Operation/Personnel Violations,1,0,2,1
Domestic,0,0,0,0
Verbal Abuse,1,0,0,0
Operation/Personnel Violations,0,0,0,0
Domestic,1,0,3,0
Domestic,0,0,0,1
Illegal Search,0,0,0,0
Use Of Force,0,0,0,0
Operation/Personnel Violations,1,0,2,0
Traffic,1,0,0,0
Traffic,0,0,0,3
Conduct Unbecoming (Off-Duty),1,0,0,0
Use Of Force,1,0,1,0
Operation/Personnel Violations,1,0,0,1
Lockup Procedures,1,0,2,0
Traffic,0,0,0,0
Lockup Procedures,0,0,0,0
Traffic,1,0,0,0
Verbal Abuse,1,0,1,0
Illegal Search,1,0,0,0
Operation/Personnel Violations,1,0,1,3
Conduct Unbecoming (Off-Duty),0,0,0,0
Illegal Search,1,0,4,0
Operation/Personnel Violations,0,0,0,1
Operation/Personnel Violations,1,0,1,2
Use Of Force,0,0,0,0
Domestic,0,0,1,0
Operation/Personnel Violations,1,0,4,0
Operation/Personnel Violations,1,0,0,0
Illegal Search,1,0,0,0
Operation/Personnel Violations,1,0,3,0
Operation/Personnel Violations,1,0,0,0
Domestic,1,0,2,0
